HostName,IPAddress,Models,Vendors
SMRTVHQ-S02C-GZ-EG,10.37.242.54,WS-C4948,Cisco
TANTA1-S01C-GH-EG,10.37.243.206,WS-C4948,Cisco
AUTO-S02C-ALX-EG,10.37.243.62,WS-C4948,Cisco
ABASIA-S04C-C-EG,10.37.243.214,WS-C4948,Cisco
ABASIA-S03C-C-EG,10.37.243.210,WS-C4948,Cisco
AUTO-S01C-ALX-EG,10.37.243.78,WS-C4948,Cisco
GIZA-S03C-GZ-EG,10.37.244.150,WS-C3560G-24TS,Cisco
GIZA-S02C-GZ-EG,10.37.244.146,WS-C4948,Cisco
TANTA2-S01C-GH-EG,10.37.244.190,WS-C4948,Cisco
TANTA2-S03C-GH-EG,10.37.244.238,WS-C4948,Cisco
TANTA2-S04C-GH-EG,10.37.244.254,WS-C4948,Cisco
ZGZIGW-S02C-SHR-EG,10.37.245.126,WS-C4948,Cisco
MNSRWST-S02C-DK-EG,10.37.244.6,WS-C4948,Cisco
RAMSIS-S01C-C-EG,10.37.245.174,WS-C3560G-48TS,Cisco
RAMSIS-S04C-C-EG,10.37.245.173,WS-C3560G-48TS,Cisco
RAMSIS-S02C-C-EG,10.37.245.190,WS-C3560G-48TS,Cisco
RAMSIS-S05C-C-EG,10.37.245.206,WS-C4948,Cisco
DOKKI.HQ-S01C-GZ-EG,10.37.242.154,WS-C3560G-24TS,Cisco
RAMSIS-S03C-C-EG,10.37.245.189,WS-C3560G-48TS,Cisco
RAMSIS-S06C-C-EG,10.37.245.222,WS-C4948,Cisco
AUTO-S04C-ALX-EG,10.37.243.142,WS-C3560G-24TS,Cisco
SMRTVHQ-S03C-GZ-EG,10.37.242.74,WS-C3560G-24TS,Cisco
AUTO-S03C-ALX-EG,10.37.243.138,WS-C3560G-48TS,Cisco
MNSREST-S02C-DK-EG,10.37.245.6,WS-C4948,Cisco
MNSRWST-S01C-DK-EG,10.37.245.22,WS-C4948,Cisco
ZGZIGW-S01C-SHR-EG,10.37.245.78,WS-C4948,Cisco
RAMSIS-S07C-C-EG,10.37.245.46,WS-C4948,Cisco
DOKKI-S01C-GZ-EG,10.37.246.118,WS-C4948,Cisco
ZGZIGW-S03C-SHR-EG,10.37.245.94,WS-C4948,Cisco
FAWALA-S01C-C-EG,10.37.246.134,WS-C4948,Cisco
DOKKI-S02C-GZ-EG,10.37.246.126,WS-C4948,Cisco
BABLOUK-S02C-C-EG,10.37.246.150,WS-C4948,Cisco
FAWALA-S02C-C-EG,10.37.246.142,WS-C4948,Cisco
BABLOUK-S01C-C-EG,10.37.246.174,WS-C3560G-24TS,Cisco
BABLOUK-S03C-C-EG,10.37.246.166,WS-C4948,Cisco
RODA-S02C-C-EG,10.37.246.206,WS-C4948,Cisco
TESVDC7-S01C-GZ-EG,10.37.247.142,WS-C3560G-48TS,Cisco
RODA-S03C-C-EG,10.37.247.150,WS-C3560G-48TS,Cisco
SHBRKHM3-S01B-C-EG,10.37.247.162,NI-CES-2048C,Brocade
BNHAEST-S01C-KB-EG,10.37.247.30,WS-C4948,Cisco
RODA-S01C-C-EG,10.37.246.205,WS-C3560G-24TS,Cisco
SIDGBR-S01C-ALX-EG,10.37.247.86,WS-C3560G-48TS,Cisco
SUKGMLA-S01C-GZ-EG,10.37.247.94,WS-C4948,Cisco
BAHTIM-S01J-GZ-EG,10.37.248.166,EX4200,Juniper
SMRTVLG-S01C-GZ-EG,10.37.247.124,WS-C4948,Cisco
MNSREST-S01C-DK-EG,10.37.246.254,WS-C4948,Cisco
SMRTVLG-S02C-GZ-EG,10.37.247.125,WS-C4948,Cisco
SHBIN1-S02C-MNF-EG,10.37.248.238,WS-C4948,Cisco
PTSAID-S01C-PTS-EG,10.37.249.164,WS-C4948,Cisco
6OCT2-S01C-GZ-EG,10.37.249.30,WS-C4948,Cisco
6OCT2-S03C-GZ-EG,10.37.249.22,WS-C4948,Cisco
ALMAZA-S01C-C-EG,10.37.249.6,WS-C4948,Cisco
DMIETGD-S01C-DT-EG,10.37.249.62,WS-C3560G-24TS,Cisco
SHBIN1-S01C-MNF-EG,10.37.248.254,WS-C4948,Cisco
10RAM2-S01C-SHR-EG,10.37.250.110,WS-C4948,Cisco
AMRYAH-S01C-ALX-EG,10.37.250.118,WS-C4948,Cisco
NOZHA3-S01C-C-EG,10.37.248.54,WS-C4948,Cisco
ASHAMS-S02C-C-EG,10.37.250.133,ME360x_t,Cisco
MIAMI-S01C-ALX-EG,10.37.249.134,WS-C3560G-48TS,Cisco
QATTAMIA-S01C-C-EG,10.37.248.70,WS-C3560G-24TS,Cisco
HDYKHLWN-S01C-C-EG,10.37.250.102,WS-C4948,Cisco
ASHAMS-S01C-C-EG,10.37.250.134,WS-C4948,Cisco
HELWAN-S01C-C-EG,10.37.250.182,WS-C4948,Cisco
ARWASH-S01C-C-EG,10.37.250.126,WS-C4948,Cisco
HNVIL1-S01C-ALX-EG,10.37.250.198,WS-C4948,Cisco
HRAMIN-S01C-ALX-EG,10.37.250.214,WS-C4948,Cisco
DMIETA2-S01C-DT-EG,10.37.250.158,WS-C4948,Cisco
BELQAS-S01C-DK-EG,10.37.250.142,WS-C4948,Cisco
GBMSTHMR-S01C-C-EG,10.37.250.166,WS-C4948,Cisco
BRGARB-S01C-ALX-EG,10.37.250.150,WS-C4948,Cisco
HRGHDAS-S01C-BA-EG,10.37.250.230,WS-C4948,Cisco
GBMSTHMR-S02C-C-EG,10.37.250.254,WS-C3560G-24TS,Cisco
